                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6928,                  4.331,                 2.7021,                 1.6497,                0.01357,                0.70948,                0.19037,                0.11096,                 0.0124,                0.64832,                0.16631,                0.07517,                  1.403,                 3.0656,                  2.886,                 1.3314,                0.00028,                0.00028,                0.00028
                      2,                 1.4572,                  2.989,                 1.9377,                 1.4192,                 0.2938,                0.10398,                0.13399,                0.08189,                0.31972,                0.11315,                0.13226,                0.07325,                 1.5303,                 3.2039,                 2.7374,                 1.4522,             0.00055129,             0.00055129,             0.00055129
                      3,                 1.4648,                 2.9159,                 1.8338,                 1.3979,                0.52402,                0.27271,                0.25452,                0.13783,                0.45302,                0.24771,                0.23085,                0.09251,                 1.6677,                 3.2114,                 2.5239,                 1.5504,             0.00079288,             0.00079288,             0.00079288
                      4,                 1.4439,                 2.6819,                 1.8079,                 1.4067,                 0.4513,                0.22018,                0.22258,                0.13662,                0.40793,                0.19266,                0.18442,                0.07973,                 1.6303,                 3.2586,                 2.5317,                 1.6273,              0.0010048,              0.0010048,              0.0010048
                      5,                 1.4282,                 2.7151,                 1.7565,                 1.4152,                0.34496,                0.30275,                0.25418,                0.14729,                0.30334,                0.28895,                0.21146,                0.08609,                 1.6481,                 3.5796,                 2.3002,                 1.6637,               0.001187,               0.001187,               0.001187
                      6,                 1.4826,                 2.6444,                 1.6916,                 1.3927,                0.31497,                0.33945,                0.26878,                0.13557,                0.29973,                0.31804,                0.26065,                0.11839,                 1.7003,                 3.5832,                  2.199,                 1.6599,              0.0013394,              0.0013394,              0.0013394
                      7,                 1.4853,                 2.7434,                 1.7278,                 1.4217,                0.43312,                0.35982,                0.33047,                0.18069,                0.41041,                0.34557,                0.30058,                 0.1139,                  1.693,                 3.4623,                 2.0579,                 1.6482,               0.001406,               0.001406,               0.001406
                      8,                 1.4256,                 2.6672,                  1.645,                 1.3824,                0.35893,                0.34862,                0.28594,                0.14311,                0.33262,                0.34862,                0.25222,                0.09011,                 1.6731,                 3.2189,                 2.2565,                  1.598,               0.001307,               0.001307,               0.001307
                      9,                   1.41,                 2.5849,                  1.591,                 1.3708,                0.29901,                0.22018,                0.16941,                0.07484,                0.21163,                 0.1896,                0.10688,                0.03777,                 1.8035,                 3.5853,                 2.7029,                 1.8591,               0.001208,               0.001208,               0.001208
                     10,                  1.384,                 2.5125,                 1.5242,                 1.3523,                 0.4645,                0.28135,                0.25278,                0.13016,                0.40403,                0.27217,                0.23383,                0.09188,                 1.6891,                 3.2988,                  2.339,                 1.6729,               0.001109,               0.001109,               0.001109
                     11,                 1.4813,                 2.6696,                 1.9855,                 1.4642,                0.53871,                 0.3211,                0.34434,                0.18207,                0.49985,                0.30887,                0.30069,                0.12335,                 1.6573,                 3.1566,                 2.2615,                 1.5797,                0.00101,                0.00101,                0.00101
                     12,                 1.3999,                 2.6378,                 1.8164,                    1.4,                0.71549,                0.37309,                0.45722,                0.27447,                0.55392,                0.40367,                0.44156,                0.20959,                 1.5554,                 2.8843,                 1.8072,                 1.4621,               0.000911,               0.000911,               0.000911
                     13,                 1.4083,                 2.5631,                 1.6971,                 1.4116,                0.54104,                0.44343,                0.42322,                0.25015,                0.50913,                0.44037,                0.38117,                0.15775,                   1.47,                 2.9522,                 1.8896,                 1.4339,               0.000812,               0.000812,               0.000812
                     14,                 1.3786,                 2.5201,                 1.6886,                 1.3854,                0.51968,                0.46483,                0.45841,                0.28216,                0.54111,                0.42813,                0.44495,                0.22366,                 1.4459,                 2.8042,                 1.7709,                  1.378,               0.000713,               0.000713,               0.000713
                     15,                 1.3046,                 2.4152,                 1.5809,                 1.3231,                0.55678,                0.45566,                0.48004,                0.28369,                0.56051,                0.45872,                0.48365,                0.23083,                 1.5049,                 2.7964,                 1.7954,                 1.4338,               0.000614,               0.000614,               0.000614
                     16,                 1.3283,                 2.4303,                 1.6002,                  1.336,                0.56044,                 0.4601,                0.48768,                0.28177,                0.58177,                0.46789,                0.49834,                 0.2335,                 1.4985,                 2.7391,                 1.7255,                  1.382,               0.000515,               0.000515,               0.000515
                     17,                 1.2713,                 2.3736,                 1.5107,                 1.2816,                0.59051,                0.49847,                0.51777,                0.30942,                0.59533,                0.52599,                0.53966,                0.26024,                 1.4624,                 2.7232,                 1.6415,                 1.3556,               0.000416,               0.000416,               0.000416
                     18,                 1.2681,                 2.3842,                 1.4671,                 1.3051,                0.65196,                0.48624,                0.53198,                0.33007,                0.66763,                0.47706,                0.54117,                0.25913,                 1.4082,                 2.6675,                 1.6053,                 1.3456,               0.000317,               0.000317,               0.000317
                     19,                  1.213,                 2.3076,                 1.4356,                 1.2684,                0.73123,                0.46177,                0.54802,                0.34015,                0.73937,                0.47714,                0.55781,                0.28346,                 1.4318,                 2.6233,                 1.5758,                 1.3419,               0.000218,               0.000218,               0.000218
                     20,                 1.2255,                 2.3301,                 1.4211,                  1.266,                0.63487,                 0.5211,                0.55339,                0.34044,                0.69304,                0.49847,                0.56486,                0.28239,                 1.4155,                 2.6083,                 1.5671,                 1.3311,               0.000119,               0.000119,               0.000119
